연번,구분,시설명,면적(m2),주소,주요시설,설치년도,데이터기준일자
1,운동장,광주 공설운동장,12977,경기도 광주시 경안동 123-4,"축구장, 육상장(4레인), 다목적구장, 인라인스케이트장",1987,2022-08-16
2,운동장,광남 생활체육공원,20753,경기도 광주시 태전동 601-1,"축구장, 씨름장, 게이트볼장, 농구장, 족구장 등",2011,2022-08-16
3,운동장,도척 그린공원,29777,경기도 광주시 도척면 유정리 211,"축구장, 야구장, 게이트볼장, 테니스장, 씨름장, 배드민턴장 ",2013,2022-08-16
4,운동장,퇴촌 공설운동장,16500,경기도 광주시 퇴촌면 광동리 530,"축구장, 게이트볼장, 놀이터, 주차장",1995,2022-08-16
5,운동장,남종 공설운동장,20055,경기도 광주시 남종면 분원리 100,축구장,1985,2022-08-16
6,운동장,남한산성 공설운동장,6700,경기도 광주시 남한산성면 상번천리 820,"축구장, 리틀야구장, 씨름장, 족구장",2011,2022-08-16
7,운동장,초월 생활체육공원,22651,경기도 광주시 초월읍 늑현리 193-1,"축구장, 족구장, 배드민턴 겸용, 씨름장, 농구장",2016,2022-08-16
8,운동장,곤지암 생활체육공원,26552,경기도 광주시 곤지암읍 삼리 612-14,"농구장, 축구장, 테니스장, 씨름장, 배드민턴(족구)장",2016,2022-08-16
9,운동장,광주 시민체육관,38440,경기도 광주시 오포읍 양벌리 21-5,"실내체육관(배드민턴장, 탁구장, 다목적구장), 실외체육시설(테니스장, 농구장, 게이트볼장, 족구장, 인라인스케이트장)",2017,2022-08-16
10,운동장,오포생활체육공원,29813,경기도 광주시 오포읍 매산리 626-6번지 ,"축구장 1면, 실내게이트볼장 1면, 다목적체육관(배드민턴 4면, 농구 1면, 배구 1면) 등",2019,2022-08-16
11,게이트볼장,매산리 게이트볼장,414,경기도 광주시 오포읍 매산리 200-3,"가설건축물, 인조잔디(55mm)",2011,2022-08-16
12,게이트볼장,초월 게이트볼장,620,경기도 광주시 초월읍 신월리 753,"가설건축물, 인조잔디",2014,2022-08-16
13,게이트볼장,열미리 게이트볼장,389,경기도 광주시 곤지암읍 열미리 476-7,"건축물, 인조잔디(19mm)",2010,2022-08-16
14,게이트볼장,도척그린공원 게이트볼장,477,경기도 광주시 도척면 유정리 211,"건축물, 인조잔디(55mm)",2013,2022-08-16
15,게이트볼장,퇴촌 게이트볼장,452,경기도 광주시 퇴촌면 광동리 666-8,"가설건축물, 마사토",2011,2022-08-16
